,state_id,year,state_abbreviation,valor,sphere_adm_id,financial_data_id,state_name
0,11,2017,RO,1098710783.0,2,1,Rondônia
1,12,2017,AC,914941978.2,2,1,Acre
2,13,2017,AM,2504732912.0,2,1,Amazonas
3,14,2017,RR,526438570.2,2,1,Roraima
4,15,2017,PA,3246532761.0,2,1,Pará
5,16,2017,AP,737249645.9,2,1,Amapá
6,17,2017,TO,1186290087.0,2,1,Tocantins
7,21,2017,MA,2155292974.0,2,1,Maranhão
8,22,2017,PI,1577132459.0,2,1,Piauí
9,23,2017,CE,2602376271.0,2,1,Ceará
10,24,2017,RN,1465307747.0,2,1,Rio Grande do Norte
11,25,2017,PB,1673516899.0,2,1,Paraíba
12,26,2017,PE,3491262392.0,2,1,Pernambuco
13,27,2017,AL,1094492147.0,2,1,Alagoas
14,28,2017,SE,1050793365.0,2,1,Sergipe
15,29,2017,BA,4931858666.0,2,1,Bahia
16,31,2017,MG,10924992632.0,2,1,Minas Gerais
17,32,2017,ES,1609528006.0,2,1,Espírito Santo
18,33,2017,RJ,6731166677.0,2,1,Rio de Janeiro 
19,35,2017,SP,26437503224.0,2,1,São Paulo
20,41,2017,PR,6791863508.0,2,1,Paraná
21,42,2017,SC,3665296694.0,2,1,Santa Catarina
22,43,2017,RS,6584019073.0,2,1,Rio Grande do Sul
23,50,2017,MS,1688394343.0,2,1,Mato Grosso do Sul
24,51,2017,MT,2375018858.0,2,1,Mato Grosso
25,52,2017,GO,3215092299.0,2,1,Goiás
26,53,2017,DF,4180302558.0,2,1,Distrito Federal
27,11,2017,RO,1075089762.0,2,3,Rondônia
28,12,2017,AC,973341308.7,2,3,Acre
29,13,2017,AM,2062432425.0,2,3,Amazonas
30,14,2017,RR,608103812.9,2,3,Roraima
31,15,2017,PA,2278225276.0,2,3,Pará
32,16,2017,AP,884170159.6,2,3,Amapá
33,17,2017,TO,1075001903.0,2,3,Tocantins
34,21,2017,MA,2421119518.0,2,3,Maranhão
35,22,2017,PI,1387604368.0,2,3,Piauí
36,23,2017,CE,2392480856.0,2,3,Ceará
37,24,2017,RN,1338199762.0,2,3,Rio Grande do Norte
38,25,2017,PB,1515245776.0,2,3,Paraíba
39,26,2017,PE,3651191133.0,2,3,Pernambuco
40,27,2017,AL,632901615.8,2,3,Alagoas
41,28,2017,SE,1007423909.0,2,3,Sergipe
42,29,2017,BA,3859444625.0,2,3,Bahia
43,31,2017,MG,9058996793.0,2,3,Minas Gerais
44,32,2017,ES,1765714987.0,2,3,Espírito Santo
45,33,2017,RJ,3873668012.0,2,3,Rio de Janeiro 
46,35,2017,SP,25734761580.0,2,3,São Paulo
47,41,2017,PR,7846938218.0,2,3,Paraná
48,42,2017,SC,2608770667.0,2,3,Santa Catarina
49,43,2017,RS,3920889713.0,2,3,Rio Grande do Sul
50,50,2017,MS,2016980068.0,2,3,Mato Grosso do Sul
51,51,2017,MT,2185138997.0,2,3,Mato Grosso
52,52,2017,GO,2787045366.0,2,3,Goiás
53,53,2017,DF,4251120881.0,2,3,Distrito Federal
54,11,2017,RO,11341757.5,1,1,Rondônia
55,11,2017,RO,56251535.9,1,1,Rondônia
56,11,2017,RO,3416176.6,1,1,Rondônia
57,11,2017,RO,37735758.1,1,1,Rondônia
58,11,2017,RO,8338434.8,1,1,Rondônia
59,11,2017,RO,5927576.4,1,1,Rondônia
60,11,2017,RO,4841877.2,1,1,Rondônia
61,11,2017,RO,9230880.6,1,1,Rondônia
62,11,2017,RO,14051050.4,1,1,Rondônia
63,11,2017,RO,20395241.9,1,1,Rondônia
64,11,2017,RO,23636586.7,1,1,Rondônia
65,11,2017,RO,41768844.5,1,1,Rondônia
66,11,2017,RO,21772870.8,1,1,Rondônia
67,11,2017,RO,8723174.7,1,1,Rondônia
68,11,2017,RO,22238227.7,1,1,Rondônia
69,11,2017,RO,18739307.1,1,1,Rondônia
70,11,2017,RO,252037823.4,1,1,Rondônia
71,11,2017,RO,8776719.3,1,1,Rondônia
72,11,2017,RO,2539828.7,1,1,Rondônia
73,11,2017,RO,24328643.2,1,1,Rondônia
74,11,2017,RO,4140243.6,1,1,Rondônia
75,11,2017,RO,50675013.2,1,1,Rondônia
76,11,2017,RO,13931434.4,1,1,Rondônia
77,11,2017,RO,16632540.6,1,1,Rondônia
78,11,2017,RO,7912725.6,1,1,Rondônia
79,11,2017,RO,8792246.2,1,1,Rondônia
80,11,2017,RO,10147010.7,1,1,Rondônia
81,11,2017,RO,19724186.0,1,1,Rondônia
82,11,2017,RO,4030491.0,1,1,Rondônia
83,11,2017,RO,3542757.8,1,1,Rondônia
84,11,2017,RO,8979659.9,1,1,Rondônia
85,11,2017,RO,16077554.4,1,1,Rondônia
86,11,2017,RO,2621929.4,1,1,Rondônia
87,11,2017,RO,8066690.5,1,1,Rondônia
88,11,2017,RO,14294401.8,1,1,Rondônia
89,11,2017,RO,5753398.5,1,1,Rondônia
90,11,2017,RO,6991583.9,1,1,Rondônia
91,11,2017,RO,5856408.1,1,1,Rondônia
92,11,2017,RO,5528202.0,1,1,Rondônia
93,11,2017,RO,7824391.8,1,1,Rondônia
94,11,2017,RO,4852527.4,1,1,Rondônia
95,11,2017,RO,2966934.7,1,1,Rondônia
96,11,2017,RO,2117653.4,1,1,Rondônia
97,11,2017,RO,2389509.6,1,1,Rondônia
98,11,2017,RO,2855942.1,1,1,Rondônia
99,11,2017,RO,11641570.4,1,1,Rondônia
100,11,2017,RO,7534759.9,1,1,Rondônia
101,11,2017,RO,3499057.4,1,1,Rondônia
102,11,2017,RO,7330182.5,1,1,Rondônia
103,11,2017,RO,7679424.1,1,1,Rondônia
104,11,2017,RO,6459640.0,1,1,Rondônia
105,11,2017,RO,4929546.0,1,1,Rondônia
106,12,2017,AC,9745043.4,1,1,Acre
107,12,2017,AC,5772575.3,1,1,Acre
108,12,2017,AC,14641857.0,1,1,Acre
109,12,2017,AC,6798207.7,1,1,Acre
110,12,2017,AC,9446818.3,1,1,Acre
111,12,2017,AC,46270322.3,1,1,Acre
112,12,2017,AC,9179159.4,1,1,Acre
113,12,2017,AC,19740820.3,1,1,Acre
114,12,2017,AC,13513083.9,1,1,Acre
115,12,2017,AC,14469090.2,1,1,Acre
